food_category_id,count,New
Chips/Crisps/Snack Mixes - Natural/Extruded (Shelf Stable),322,Snacks & Desserts
Chocolate,41507,Snacks & Desserts
Chocolate and Chocolate/Sugar Candy Combinations - Confectionery,1,Snacks & Desserts
Cookies & Biscuits,53574,Snacks & Desserts
Crackers & Biscotti,17403,Snacks & Desserts
"Croissants, Sweet Rolls, Muffins & Other Pastries",11756,Snacks & Desserts
Desserts (Frozen),28,Snacks & Desserts
Desserts (Shelf Stable),2,Snacks & Desserts
Desserts & Custard,7,Snacks & Desserts
Desserts/Dessert Sauces/Toppings,1405,Snacks & Desserts
Flavored Snack Crackers,3202,Snacks & Desserts
"French Fries, Potatoes & Onion Rings",4295,Snacks & Desserts
Frozen Desserts,3,Snacks & Desserts
Frozen Pies/Savouries,4,Snacks & Desserts
"Gelatin, Gels, Pectins & Desserts",4031,Snacks & Desserts
Ice Cream & Frozen Yogurt,60793,Snacks & Desserts
Ice Cream/Ice Novelties (Shelf Stable),30,Snacks & Desserts
Ice-Cream Take Home,15,Snacks & Desserts
Ice-Cream/Ice-Block Multi Pack,4,Snacks & Desserts
Other Frozen Desserts,8213,Snacks & Desserts
Other Snacks,31912,Snacks & Desserts
Pastries/Pies/Pizzas,6,Snacks & Desserts
Pies/Pastries - Sweet (Frozen),4,Snacks & Desserts
Pies/Pastries - Sweet (Shelf Stable),216,Snacks & Desserts
Pies/Pastries/Pizzas/Quiches - Savoury (Frozen),74,Snacks & Desserts
Pizza,17253,Snacks & Desserts
Popcorn (Shelf Stable),13,Snacks & Desserts
"Popcorn, Peanuts, Seeds & Related Snacks",92148,Snacks & Desserts
Puddings & Custards,5512,Snacks & Desserts
Puddings and desserts,5,Snacks & Desserts
Snack Foods - Cereal Snacks,8,Snacks & Desserts
Snack Foods - Chips,15,Snacks & Desserts
Snack Foods - Nuts,7,Snacks & Desserts
Snack Foods - Other,31,Snacks & Desserts
"Snack, Energy & Granola Bars",40136,Snacks & Desserts
Snacks,6367,Snacks & Desserts
Snacks Other,11,Snacks & Desserts
Snacks Variety Packs,8,Snacks & Desserts
Sugar Candy/Sugar Candy Substitutes Confectionery,3,Snacks & Desserts
Wrapped Snacks - Fruit Bars,1,Snacks & Desserts
Wrapped Snacks - Muesli Bars,8,Snacks & Desserts
Wrapped Snacks - Nut Bars,6,Snacks & Desserts
1404,22,Vegetarian
2806,20,Vegetarian
Meat Substitutes,11,Vegetarian
Plant Based Milk,8106,Vegetarian
Vegetable Based Products / Meals,1548,Vegetarian
Vegetable Based Products / Meals - Not Ready to Eat (Frozen),227,Vegetarian
Vegetarian Frozen Meats,1427,Vegetarian
Vinegars/Cooking Wines,10,Vinegar
Fruit/Nuts/Seeds Combination,93,Wholesome Snacks
Wholesome Snacks,27014,Wholesome Snacks
Honey,5412,Honey
Other Cooking Sauces,8920,
"Pickles, Olives, Peppers & Relishes",44432,
Processed Cereal Products,8118,
Savoury Bakery Products,2739,
Syrups & Molasses,8433,
Tomatoes,14564,
,12655,
